Sample ID	Truth

SIM101 *79+*68A+*4.009/*3.001
SIM102 *1.002X2+*83.001/*56.002
SIM103 *1.001+*90/*27.001
SIM104 *10.001X2/*4.001
SIM105 *10.002X3/*42.001
SIM106 *76+*1.002/*5
SIM107 *79+*68A+*4.001x2/*7.001
SIM108 *17X2(repdup)/*43.001 x2
SIM109 *17X2(spacer)/*69.001
SIM110 *1.002X3/*59.001
SIM111 *1.004X5/*4.001
SIM112 *80/*5
SIM113 *29X2/*84.001
SIM114 *2.007X2/*70.001
SIM115 *2.010X4/*58.001
SIM116 *2.001x8/*29.001x2
SIM117 *35.001X2/*95.001
SIM118 *36.001(REP6)/*4.013
SIM119 *36.001+*10.001/*36.001+*10.001
SIM120 *36.001X2/*10.002
SIM121 *36.001X2+*10.003/*107.001
SIM122 *36.002/*3.001X2
SIM123 *36+*10.001x2/*64.001
SIM124 *83.001/*54.001
SIM125 *4.013+*4.001/*12.002
SIM126 *4.013X2/*10.004
SIM127 *41.001X2/*68+*4.001
SIM128 *68/*4.001
SIM129 *43.001X2/*60.001
SIM130 *45X2/*62.001
SIM131 *4.011X2/*16
SIM132 *4.001X3/*83.003
SIM133 *5/*5
SIM134 *57+*10D/*45.001
SIM135 *61/*4.008
SIM136 *63/*15.001
SIM137 *13A1/*11.001
SIM138 *67/*9.001X2
SIM139 *68+*4.001/*18.001
SIM140 *6.003X2/*71.001
SIM141 *13A1+*1.004x2/*43.001
SIM142 *57+*10D/*35.002
SIM143 *77+*2.002/*2.011
SIM144 *78+*2.001/*34.001
SIM145 *82.001/*33.001
SIM146 *79+*2.001/*39.001
SIM147 *83.002/*5
SIM148 *80/*4.004
SIM149 *29x2/*5
SIM150 *1.002x4/*2.001x8
SIM167 *4/*68+*4
SIM168 *68+*4/*68+*4
SIM169 *79+*68+*4.009/*2.011
SIM170 *1.002x2+*83.001/*6.001
SIM171 *1.001+*90.001/*4.001
SIM172 *10.001x2/*3.001
SIM173 *3.001x2/*4.001x2
SIM174 *76+*1.002/*34.001
SIM175 *79+*68+*4.001x2/*40.001
SIM176 *17.001x2/*29.001x2
SIM177 *17x2(spacer)/*45.001
SIM178 *1.002x3/*2.001x2
SIM179 *80/*33.001
SIM180 *29.001x2/*4.004
SIM181 *35.001x2/*1.002
SIM182 *36.001/*9.001
SIM183 *36.001x2/*100.001
SIM184 *4.013+*4.001/*50.001
SIM185 *4.013x2/*51.001
SIM186 *43.001x2/*28.001
SIM187 *5/*5
SIM188 *27.001/*5
SIM189 *57.001+*10.003/*1.001
SIM190 *61/*84.001
SIM191 *63/*58.001
SIM192 *61/*1.001x3
SIM193 *63/*2.001x2
SIM194 *13A1/*9x2
SIM195 *67/*81
SIM196 13A+*1.004x2/*7
SIM197 *77+*2.002/*3.001
SIM198 *78+*2.001/*39.001
SIM199 *83.002/*2.001
SIM200 *82.001/*2.011
SIM201 *2.001x8/*1.001
SIM202 *1.001x4/*2.001
SIM203 *2.011/*2.011
SIM277 *13A+*1.004x2/*13A+*1.004x2
SIM278 *13A/*13A
SIM279 *1.001+*90.001/*1.001+*90.001
SIM280 *1.002X2+*83.001/*1.002x2+*83.001
SIM281 *36.001/*36.001
SIM282 *36.001x2/*36.001x2
SIM283 *36.001x2+*10.003/*36x2+*10.003
SIM284 *61/*61
SIM285 *63/*63
SIM286 *57+*10D/*57+*10D
SIM287 *76+*1.002/*76+1.002
SIM288 *77+*2.002/*77+*2.002
SIM289 *78+*2.001/*78+*2.002
SIM290 *79+*68+*4.001x2/*79+*68+*4.001x2
SIM291 *80/*80
SIM292 *82.001/*82.001
SIM293 *10.001/*5
SIM294 *17.001/*5
SIM295 *101.001/*5
SIM296 *65.001/*5
SIM297 *24.001/*5
SIM298 *3.001/*5
SIM299 *84.001/*5
SIM300 *86.001/*5
SIM301 *10.002x3/*5
SIM302 *79+*68+*4.009/*5
SIM303 *41x3/*70
SIM304 *2.001x2/*24.001
SIM305 *35.001x2/*19.001
SIM306 *43.001x2/*55.001
SIM307 *29.001x2/*89.001
SIM308 *17.001x2/*40.001
SIM309 *10.002x3/*104.001
SIM310 *10.001x2/*8.001
SIM311 *79+*68+*4.009/*79+*68+*4.009
